Date,ID,Weight (g),VWC %,Soil Temp (Celsius),Interval Watering,Moisture Watering,Scale Watering,Growth (g),Calculated Growth (g),Max weight (g)
2021-08-01 22:30:14 IDT,1,4115.58545,58.6,30.06,0,0,0,0,25.30713,4115.58545
2021-08-01 22:30:36 IDT,2,4125.30713,58.6,30,0,0,0,0,30.2168,4125.30713
2021-08-01 22:30:58 IDT,3,4130.2168,58.5,29.94,0,0,0,0,38.29199,4130.2168
2021-08-01 22:31:20 IDT,4,4138.29199,57.7,29.9,0,0,0,0,38.29199,4138.29199
2021-08-01 22:31:42 IDT,5,4135.84229,57.6,29.87,0,0,0,0,51.94336,4138.29199
2021-08-01 22:32:04 IDT,6,4151.94336,57.5,29.82,0,0,0,0,58.73486,4151.94336
2021-08-01 22:32:26 IDT,7,4158.73486,57.3,29.81,0,0,0,0,62.88037,4158.73486
2021-08-01 22:32:47 IDT,8,4162.88037,57.2,29.79,0,0,0,0,68.61328,4162.88037
2021-08-01 22:33:09 IDT,9,4168.61328,57.1,29.79,0,0,0,0,68.61328,4168.61328
2021-08-01 22:33:31 IDT,10,4167.94678,57.1,29.73,0,0,0,0,68.61328,4168.61328
2021-08-01 22:33:53 IDT,11,4157.74512,57,29.77,0,0,0,0,68.61328,4168.61328
2021-08-01 22:34:15 IDT,12,4156.75537,57,29.74,0,0,0,0,68.61328,4168.61328
2021-08-01 22:34:37 IDT,13,4163.94824,57,29.73,0,0,0,0,68.61328,4168.61328
2021-08-01 22:34:59 IDT,14,4164.86963,56.9,29.74,0,0,0,0,69.87744,4168.61328
2021-08-01 22:35:21 IDT,15,4169.87744,56.9,29.7,0,0,0,0,69.87744,4169.87744
2021-08-01 22:35:43 IDT,16,4165.96729,56.9,29.69,0,0,0,0,73.18994,4169.87744
2021-08-01 22:36:05 IDT,17,4173.18994,56.9,29.68,0,0,0,0,73.18994,4173.18994
2021-08-01 22:36:26 IDT,18,4164.26221,56.8,29.7,0,0,0,0,73.18994,4173.18994
2021-08-01 22:36:48 IDT,19,4164.60498,56.8,29.66,0,0,0,0,73.18994,4173.18994
2021-08-01 22:37:10 IDT,20,4166.66309,56.9,29.68,0,0,0,0,73.18994,4173.18994
2021-08-01 22:37:32 IDT,21,4169.63232,56.8,29.66,0,0,0,0,73.18994,4173.18994
2021-08-01 22:37:54 IDT,22,4168.86816,56.8,29.64,0,0,0,0,73.18994,4173.18994
2021-08-01 22:38:16 IDT,23,4169.61279,56.7,29.63,0,0,0,0,73.18994,4173.18994
2021-08-01 22:38:38 IDT,24,4169.31885,56.6,29.62,0,0,0,0,73.18994,4173.18994
2021-08-01 22:39:00 IDT,25,4167.86865,56.6,29.63,0,0,0,0,73.18994,4173.18994
2021-08-01 22:39:22 IDT,26,4163.78174,56.6,29.62,0,0,0,0,73.18994,4173.18994
2021-08-01 22:39:43 IDT,27,4152.56104,56.6,29.61,0,0,0,0,73.18994,4173.18994
2021-08-01 22:40:06 IDT,28,4154.38379,56.6,29.61,0,0,0,0,73.18994,4173.18994
2021-08-01 22:40:28 IDT,29,4159.56787,56.6,29.59,0,0,0,0,73.18994,4173.18994
2021-08-01 22:40:50 IDT,30,4165.61426,56.6,29.61,0,0,0,0,73.18994,4173.18994
2021-08-01 22:41:11 IDT,31,4162.51758,56.6,29.6,0,0,0,0,73.18994,4173.18994
2021-08-01 22:41:33 IDT,32,4164.09521,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:41:55 IDT,33,4160.03809,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:42:17 IDT,34,4161.17529,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:42:39 IDT,35,4164.08545,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:43:01 IDT,36,4168.75049,56.7,29.59,0,0,0,0,73.18994,4173.18994
2021-08-01 22:43:22 IDT,37,4168.82861,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:43:44 IDT,38,4169.49512,56.6,29.59,0,0,0,0,73.18994,4173.18994
2021-08-01 22:44:06 IDT,39,4166.00635,56.6,29.61,0,0,0,0,73.18994,4173.18994
2021-08-01 22:44:28 IDT,40,4158.54883,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:44:50 IDT,41,4159.13672,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:45:11 IDT,42,4159.04834,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:45:33 IDT,43,4160.72412,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:45:55 IDT,44,4157.54883,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:46:17 IDT,45,4163.36035,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:46:39 IDT,46,4167.02588,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:47:00 IDT,47,4163.05664,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:47:23 IDT,48,4161.15527,56.6,29.59,0,0,0,0,73.18994,4173.18994
2021-08-01 22:47:47 IDT,49,4153.93262,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:48:09 IDT,50,4167.03564,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:48:31 IDT,51,4163.4585,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:48:53 IDT,52,4167.24121,56.5,29.56,0,0,0,0,73.18994,4173.18994
2021-08-01 22:49:15 IDT,53,4162.53711,56.5,29.54,0,0,0,0,73.18994,4173.18994
2021-08-01 22:49:36 IDT,54,4158.17627,56.6,29.54,0,0,0,0,73.18994,4173.18994
2021-08-01 22:49:58 IDT,55,4160.88086,56.5,29.59,0,0,0,0,73.18994,4173.18994
2021-08-01 22:50:20 IDT,56,4161.65527,56.5,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:50:42 IDT,57,4165.18311,56.6,29.58,0,0,0,0,73.18994,4173.18994
2021-08-01 22:51:04 IDT,58,4162.94873,56.6,29.55,0,0,0,0,73.18994,4173.18994
2021-08-01 22:51:26 IDT,59,4157.16699,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:51:47 IDT,60,4155.03027,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:52:09 IDT,61,4154.79541,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:52:31 IDT,62,4155.48145,56.6,29.56,0,0,0,0,73.18994,4173.18994
2021-08-01 22:52:53 IDT,63,4156.6084,56.5,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:53:15 IDT,64,4160.00879,56.6,29.57,0,0,0,0,73.18994,4173.18994
2021-08-01 22:53:37 IDT,65,4153.72705,56.6,29.54,0,0,0,0,73.18994,4173.18994
2021-08-01 22:53:58 IDT,66,4156.46143,56.6,29.55,0,0,0,0,73.18994,4173.18994
2021-08-01 22:54:20 IDT,67,4156.20654,56.6,29.54,0,0,0,0,73.18994,4173.18994
